trading_pair,date,open,high,low,close,volume
DOGE-USD,10/26/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/25/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/24/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/23/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/22/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/21/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/20/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/19/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/18/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/17/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/16/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/15/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/14/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/13/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/12/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/11/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/10/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/9/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/8/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/7/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/6/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/5/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/4/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/3/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/2/2020 19:00:00,None,None,None,None,None
DOGE-USD,10/1/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/30/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/29/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/28/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/27/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/26/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/25/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/24/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/23/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/22/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/21/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/20/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/19/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/18/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/17/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/16/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/15/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/14/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/13/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/12/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/11/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/10/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/9/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/8/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/7/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/6/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/5/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/4/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/3/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/2/2020 19:00:00,None,None,None,None,None
DOGE-USD,9/1/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/31/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/30/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/29/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/28/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/27/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/26/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/25/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/24/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/23/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/22/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/21/2020 19:00:00,None,None,None,None,None
